product_id,product_name,brand_id
1,Total asymmetric moratorium,1
2,Centralized asymmetric leverage,1
3,Automated executive installation,1
4,Enterprise-wide zero administration challenge,2
5,Visionary secondary superstructure,2
6,Stand-alone intangible hub,2
7,Multi-tiered local implementation,2
8,Multi-tiered attitude-oriented software,3
9,Switchable needs-based challenge,4
10,Streamlined grid-enabled capability,4
11,Enhanced national infrastructure,4
12,Progressive clear-thinking superstructure,4
13,Face-to-face 24hour system engine,5
14,Ameliorated exuding Local Area Network,5
15,Synergistic uniform moratorium,6
16,Optimized national implementation,6
17,Focused dynamic knowledgebase,6
18,Monitored coherent focus group,7
19,Ergonomic uniform task-force,8
20,Customizable 5thgeneration workforce,8
21,Switchable intangible pricing structure,8
22,Visionary 3rdgeneration encoding,8
23,Expanded asymmetric attitude,9
24,Right-sized 5thgeneration knowledge user,10
25,Right-sized systematic strategy,10
26,Business-focused dynamic support,11
27,Balanced impactful intranet,11
28,Focused needs-based data-warehouse,11
29,Versatile zero-defect approach,12
30,Devolved motivating frame,12
31,Focused upward-trending orchestration,12
32,Intuitive object-oriented policy,12
33,Visionary systematic Graphic Interface,13
34,Front-line exuding circuit,14
35,Switchable multi-state definition,14
36,Open-source exuding focus group,14
37,Centralized next generation parallelism,15
38,User-centric context-sensitive product,15
39,Synergistic interactive open architecture,15
40,Proactive actuating hardware,16
41,Stand-alone static implementation,17
42,Progressive foreground standardization,17
43,Operative incremental collaboration,17
44,Innovative homogeneous contingency,18
45,Versatile national leverage,18
46,Front-line directional framework,18
47,Triple-buffered client-server workforce,19
48,Persistent analyzing open architecture,19
49,Open-source intangible open architecture,19
50,Progressive client-driven info-mediaries,19
51,Fully-configurable eco-centric database,20
52,Managed secondary artificial intelligence,20
53,Organized holistic array,20
54,Public-key uniform core,21
55,Business-focused encompassing implementation,21
56,Synergistic real-time portal,21
57,Balanced asynchronous core,21
58,Virtual optimizing success,22
59,Synchronized next generation data-warehouse,22
60,Polarized demand-driven groupware,22
61,Innovative 24/7 data-warehouse,23
62,Ergonomic user-facing capability,23
63,User-friendly web-enabled matrices,24
64,Fully-configurable tangible portal,24
65,Triple-buffered demand-driven infrastructure,25
66,Front-line neutral Graphic Interface,25
67,Vision-oriented executive implementation,25
68,Persistent national projection,25
69,Multi-channeled fault-tolerant firmware,26
70,Multi-lateral multimedia methodology,26
71,Persistent bandwidth-monitored website,26
72,Up-sized methodical task-force,26
73,Intuitive demand-driven hub,27
74,Intuitive incremental analyzer,27
